Resume,Overall Match (%),Skills Match (%),Matching Skills
alice_johnson.docx,29.019803980138242,29.166666666666668,"git, skills, software, experience, django, python, engineer"
bob_smith.docx,15.407734036610346,16.666666666666664,"skills, data, python, git"
carol_williams.pdf,6.069076578091755,12.5,"skills, git, experience"
resume_backend_4.docx,8.124153632094462,16.666666666666664,"skills, git, experience, engineer"
resume_backend_4.pdf,8.124153632094462,16.666666666666664,"skills, git, experience, engineer"
resume_data_scientist_2.docx,8.266676468074667,16.666666666666664,"skills, data, python, experience"
resume_data_scientist_2.pdf,8.266676468074667,16.666666666666664,"skills, data, python, experience"
resume_devops_5.docx,6.637068726226433,12.5,"skills, experience, engineer"
resume_devops_5.pdf,6.637068726226433,12.5,"skills, experience, engineer"
resume_frontend_3.docx,5.7066132831890855,12.5,"experience, skills, web"
